File,Era,ProductId,JigId,TestID,SweepID,RunRole,H1_Deg,H2_Deg,H36_Deg,RatioH2H36,RatioH1H36
C:\learn\rd\jig\B0-B p05 jig 1 test 23 lần 1.txt,legacy-root,P05,JIG1,44,43,OFFICIAL,0.33818498681345,0.210969138325831,0.85281382857872,0.247380062630349,0.396551950121473
C:\learn\rd\jig\B0-B p05 jig 1 test 23 lần 1.txt,legacy-root,P05,JIG1,45,44,OFFICIAL,0.333807222609535,0.214385163795969,0.851091857631221,0.251894271897572,0.392210570006621
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 1.txt,legacy-root,P06,JIG1,46,45,PRECONDITION,0.242801121334245,0.113442777775363,0.833734034336861,0.136065907235746,0.291221314393583
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 1.txt,legacy-root,P06,JIG1,47,46,OFFICIAL,0.249277499344431,0.115459374228974,0.827008738040471,0.139610827453342,0.301420635451898
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 1.txt,legacy-root,P06,JIG1,48,47,OFFICIAL,0.239169900360025,0.110322332825059,0.820933364262072,0.13438646500161,0.291338993847585
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 1.txt,legacy-root,P06,JIG1,49,48,OFFICIAL,0.241499653823252,0.118060180398311,0.821568436185241,0.143700969022734,0.293949527740621
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 1.txt,legacy-root,P06,JIG1,50,49,OFFICIAL,0.255474904348867,0.116626184842255,0.821717443945754,0.141929790710338,0.3109035912906
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 1.txt,legacy-root,P06,JIG1,51,50,OFFICIAL,0.252959543181409,0.11406175867734,0.820039249714207,0.139093047945073,0.308472482591008
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 1.txt,legacy-root,P06,JIG1,52,51,OFFICIAL,0.248887262216318,0.118221916771044,0.820121606686168,0.144151691416519,0.303476045731787
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 1.txt,legacy-root,P06,JIG1,53,52,OFFICIAL,0.245831410043071,0.116630995508568,0.82124804757424,0.142016770515396,0.299338806063765
