Point,remount01_MeanAbsPositionErrorRaw_Primary,remount01_MeanAbsPositionErrorDeg_Primary,remount01_MeanAbsPositionErrorRaw_Sensitivity,remount01_SensitivitySweepCount,remount02_MeanAbsPositionErrorRaw_Primary,remount02_MeanAbsPositionErrorDeg_Primary,remount02_MeanAbsPositionErrorRaw_Sensitivity,remount02_SensitivitySweepCount,remount03_MeanAbsPositionErrorRaw_Primary,remount03_MeanAbsPositionErrorDeg_Primary,remount03_MeanAbsPositionErrorRaw_Sensitivity,remount03_SensitivitySweepCount
41,7.000000,0.038452148,7.000000,3,16.333333,0.089721680,16.333333,3,34.500000,0.189514160,34.666667,3
42,71.666667,0.393676758,71.666667,3,78.000000,0.428466797,78.000000,3,96.500000,0.530090332,97.333333,3
43,121.333333,0.666503906,121.333333,3,127.333333,0.699462891,127.333333,3,153.000000,0.840454102,151.333333,3
44,130.333333,0.715942383,130.333333,3,140.000000,0.769042969,140.000000,3,164.000000,0.900878906,165.000000,3
45,45.333333,0.249023438,45.333333,3,64.333333,0.353393555,64.333333,3,85.000000,0.466918945,83.000000,3
46,126.666667,0.695800781,126.666667,3,111.666667,0.613403320,111.666667,3,101.500000,0.557556152,97.666667,3
47,151.000000,0.829467773,151.000000,3,149.333333,0.820312500,149.333333,3,126.500000,0.694885254,125.666667,3
48,127.666667,0.701293945,127.666667,3,117.000000,0.642700195,117.000000,3,103.500000,0.568542480,101.333333,3
49,87.000000,0.477905273,87.000000,3,73.333333,0.402832031,73.333333,3,63.500000,0.348815918,62.666667,3
50,8.666667,0.047607422,8.666667,3,16.000000,0.087890625,16.000000,3,31.500000,0.173034668,33.000000,3
51,88.000000,0.483398438,88.000000,3,90.000000,0.494384766,90.000000,3,106.500000,0.585021973,108.000000,3
52,138.666667,0.761718750,138.666667,3,144.666667,0.794677734,144.666667,3,166.500000,0.914611816,166.000000,3
53,191.666667,1.052856445,191.666667,3,191.666667,1.052856445,191.666667,3,208.500000,1.145324707,209.000000,3
54,224.000000,1.230468750,224.000000,3,217.333333,1.193847656,217.333333,3,241.000000,1.323852539,243.333333,3
55,210.333333,1.155395508,210.333333,3,210.000000,1.153564453,210.000000,3,221.000000,1.213989258,222.333333,3
56,19.666667,0.108032227,19.666667,3,5.333333,0.029296875,5.333333,3,20.000000,0.109863281,23.333333,3
57,92.333333,0.507202148,92.333333,3,97.000000,0.532836914,97.000000,3,83.000000,0.455932617,80.333333,3
58,111.666667,0.613403320,111.666667,3,112.333333,0.617065430,112.333333,3,91.000000,0.499877930,89.000000,3
59,89.666667,0.492553711,89.666667,3,87.666667,0.481567383,87.666667,3,67.500000,0.370788574,66.333333,3
60,30.000000,0.164794922,30.000000,3,29.000000,0.159301758,29.000000,3,9.500000,0.052185059,9.000000,3
61,58.666667,0.322265625,58.666667,3,57.333333,0.314941406,57.333333,3,78.000000,0.428466797,80.000000,3
62,107.666667,0.591430664,107.666667,3,94.666667,0.520019531,94.666667,3,121.000000,0.664672852,121.666667,3
63,135.333333,0.743408203,135.333333,3,127.666667,0.701293945,127.666667,3,147.000000,0.807495117,147.666667,3
64,118.000000,0.648193359,118.000000,3,123.333333,0.677490234,123.333333,3,136.000000,0.747070312,137.666667,3
65,109.000000,0.598754883,109.000000,3,96.333333,0.529174805,96.333333,3,75.500000,0.414733887,78.000000,3
66,252.000000,1.384277344,252.000000,3,262.000000,1.439208984,262.000000,3,233.500000,1.282653809,235.000000,3
67,281.666667,1.547241211,281.666667,3,278.666667,1.530761719,278.666667,3,256.500000,1.408996582,261.333333,3
68,239.666667,1.316528320,239.666667,3,233.000000,1.279907227,233.000000,3,210.500000,1.156311035,211.000000,3
69,193.333333,1.062011719,193.333333,3,184.333333,1.012573242,184.333333,3,170.500000,0.936584473,171.000000,3
70,114.333333,0.628051758,114.333333,3,101.333333,0.556640625,101.333333,3,89.000000,0.488891602,88.333333,3
71,42.666667,0.234375000,42.666667,3,31.333333,0.172119141,31.333333,3,19.000000,0.104370117,18.000000,3
72,3.333333,0.018310547,3.333333,3,16.666667,0.091552734,16.666667,3,29.000000,0.159301758,31.666667,3
73,22.333333,0.122680664,22.333333,3,30.333333,0.166625977,30.333333,3,58.000000,0.318603516,56.000000,3
74,13.000000,0.071411133,13.000000,3,9.000000,0.049438477,9.000000,3,14.500000,0.079650879,14.000000,3
75,173.666667,0.953979492,173.666667,3,141.333333,0.776367188,141.333333,3,144.500000,0.793762207,141.666667,3
76,253.333333,1.391601562,253.333333,3,239.666667,1.316528320,239.666667,3,227.000000,1.246948242,223.000000,3
77,239.333333,1.314697266,239.333333,3,233.666667,1.283569336,233.666667,3,217.000000,1.192016602,214.000000,3
78,193.333333,1.062011719,193.333333,3,194.333333,1.067504883,194.333333,3,168.000000,0.922851562,167.666667,3
79,137.333333,0.754394531,137.333333,3,142.000000,0.780029297,142.000000,3,115.000000,0.631713867,115.000000,3
80,58.666667,0.322265625,58.666667,3,57.333333,0.314941406,57.333333,3,40.000000,0.219726562,37.666667,3
81,50.333333,0.276489258,50.333333,3,53.333333,0.292968750,53.333333,3,65.000000,0.357055664,67.666667,3
82,118.666667,0.651855469,118.666667,3,121.666667,0.668334961,121.666667,3,137.000000,0.752563477,138.000000,3
83,169.333333,0.930175781,169.333333,3,173.666667,0.953979492,173.666667,3,183.000000,1.005249023,186.000000,3
84,191.000000,1.049194336,191.000000,3,189.666667,1.041870117,189.666667,3,198.500000,1.090393066,203.000000,3
85,156.333333,0.858764648,156.333333,3,148.666667,0.816650391,148.666667,3,159.000000,0.873413086,161.000000,3
86,51.333333,0.281982422,51.333333,3,56.666667,0.311279297,56.666667,3,43.500000,0.238952637,49.000000,3
87,101.666667,0.558471680,101.666667,3,109.666667,0.602416992,109.666667,3,93.000000,0.510864258,93.333333,3
88,92.000000,0.505371094,92.000000,3,96.333333,0.529174805,96.333333,3,77.500000,0.425720215,78.000000,3
89,57.000000,0.313110352,57.000000,3,61.333333,0.336914062,61.333333,3,45.500000,0.249938965,44.000000,3
90,32.333333,0.177612305,32.333333,3,29.000000,0.159301758,29.000000,3,34.500000,0.189514160,39.000000,3
91,104.000000,0.571289062,104.000000,3,101.000000,0.554809570,101.000000,3,110.500000,0.606994629,113.000000,3
