MechanicalAngleDeg,MeasuredErrorDeg,H36FitDeg,ElectricalFamilyFitDeg,Extended12OrderFitDeg,ElectricalFamilyResidualDeg
231.0,-0.20239,0.0024843636699988236,-0.022126019525339033,-0.17764813772309068,-0.18026398047466097
232.0,0.04565,0.40759282388546103,0.2009415696091879,0.05671141058744799,-0.1552915696091879
233.0,0.31207,0.505613071000635,0.4423076414497197,0.2982496415791666,-0.13023764144971967
234.0,0.39917,0.2591047022031878,0.5561471638339412,0.4192066917924888,-0.15697716383394122
235.0,-0.23254,-0.2377744641375489,-0.11073374425641469,-0.2213823128582084,-0.1218062557435853
236.0,-1.14117,-0.795233474781101,-1.0692070195253163,-1.134895987824986,-0.07196298047468375
237.0,-1.38416,-1.2003419349965676,-1.342592708168584,-1.3570853260098827,-0.04156729183141605
238.0,-1.23138,-1.2983621821117475,-1.1521061363280654,-1.1256997583632522,-0.07927386367193456
239.0,-1.01306,-1.0518538133143056,-0.9487279472771678,-0.9022962022489242,-0.06433205272283227
240.0,-0.60632,-0.5549746469735719,-0.5176483553675199,-0.4703849557499398,-0.08867164463248012
241.0,-0.09296,0.0024843636700044303,-0.02212601952533534,0.019547744670040126,-0.07083398047466466
242.0,0.18384,0.4075928238854639,0.20094156960919313,0.24660809080449742,-0.017101569609193124
243.0,0.43262,0.5056130710006341,0.44230764144971707,0.5109762551609098,-0.009687641449717066
244.0,0.48798,0.2591047022032015,0.556147163833949,0.663831434703458,-0.068167163833949
245.0,-0.01025,-0.2377744641375296,-0.11073374425638656,0.03823315811538866,0.10048374425638656
246.0,-1.2417,-0.7952334747811066,-1.069207019525324,-0.8929196672519343,-0.17249298047467598
247.0,-1.23578,-1.2003419349965703,-1.3425927081685862,-1.161676063046111,0.10681270816858612
248.0,-1.12537,-1.2983621821117466,-1.152106136328065,-0.9847634259010547,0.02673613632806493
249.0,-0.87244,-1.0518538133143014,-0.9487279472771672,-0.7975556037050708,0.07628794727716726
250.0,-0.35345,-0.5549746469735657,-0.5176483553675104,-0.3674214692709776,0.16419835536751043
251.0,0.08728,0.002484363669986722,-0.022126019525347262,0.15173636924089462,0.10940601952534726
252.0,0.3111,0.4075928238854548,0.2009415696091738,0.41761403668867686,0.11015843039082618
253.0,0.57489,0.5056130710006332,0.44230764144972223,0.7025957013255755,0.13258235855027778
254.0,0.74829,0.25910470220317916,0.5561471638339319,0.8385262478501369,0.1921428361660681
255.0,0.34509,-0.23777446413753572,-0.1107337442563943,0.1571254815404754,0.4558237442563943
256.0,-0.79132,-0.7952334747811123,-1.0692070195253316,-0.8531331283514919,0.27788701952533157
257.0,-1.1673,-1.2003419349965734,-1.3425927081685889,-1.2024830603149654,0.17529270816858888
258.0,-1.03967,-1.2983621821117493,-1.1521061363280718,-1.0931918729660446,0.1124361363280717
259.0,-0.91724,-1.0518538133143152,-0.9487279472771768,-0.9617252479743441,0.03148794727717674
260.0,-0.55042,-0.5549746469735596,-0.5176483553675076,-0.5898740797841328,-0.03277164463249238
261.0,-0.05347,0.002484363670015588,-0.022126019525328,-0.1479479545257548,-0.031343980474672
262.0,0.19855,0.4075928238854577,0.20094156960918588,0.016952505851713984,-0.0023915696091858785
263.0,0.37256,0.505613071000636,0.4423076414497121,0.1914604388138606,-0.06974764144971207
264.0,0.32965,0.2591047022031927,0.556147163833944,0.23703381779877525,-0.22649716383394403
265.0,-0.55841,-0.23777446413754189,-0.11073374425640205,-0.48293421903184747,-0.44767625574359793
266.0,-1.51886,-0.7952334747811178,-1.0692070195253387,-1.4619790068379497,-0.4496529804746614
267.0,-1.58893,-1.2003419349965765,-1.3425927081685847,-1.715433798206243,-0.24633729183141528
268.0,-1.36511,-1.2983621821117448,-1.1521061363280567,-1.471528826984757,-0.21300386367194335
269.0,-1.10236,-1.0518538133143107,-0.9487279472771759,-1.2009228309195565,-0.1536320527228241
270.0,-0.63202,-0.5549746469735789,-0.5176483553675201,-0.7118499232418805,-0.11437164463247995
271.0,-0.22803,0.0024843636699979355,-0.022126019525339533,-0.1827910288721769,-0.20590398047466046
272.0,0.0365,0.4075928238854606,0.20094156960919107,0.04882567340545735,-0.16444156960919107
273.0,0.27582,0.5056130710006351,0.4423076414497172,0.2866967311889329,-0.16648764144971717
274.0,0.41797,0.2591047022031884,0.5561471638339438,0.4029475168116136,-0.1381771638339438
275.0,-0.18542,-0.23777446413754805,-0.11073374425640983,-0.24342817833247005,-0.07468625574359017
276.0,-1.15027,-0.7952334747811235,-1.0692070195253465,-1.1637727518405152,-0.08106298047465343
277.0,-1.35974,-1.2003419349965672,-1.3425927081685807,-1.3937229987800546,-0.017147291831419276
278.0,-1.18304,-1.2983621821117477,-1.1521061363280638,-1.1708394772800368,-0.03093386367193629
279.0,-1.02533,-1.0518538133143065,-0.9487279472771708,-0.9564224652968898,-0.07660205272282927
280.0,-0.63159,-0.5549746469735728,-0.517648355367524,-0.5336680763328693,-0.11394164463247602
281.0,-0.13184,0.002484363670003542,-0.02212601952533616,-0.05270391249097203,-0.10971398047466385
