MetricX,MetricY,N,RCentered,PCentered,RDetrended,PDetrended,BatchValid,BatchSameDirection,BatchOppositeDirection,MedianBatchR,AbsRDetrended
A12,Residual_RMS_Full,80,0.277146810541038,0.0128166647672772,0.260805949330272,0.0194599533401982,8,6,2,0.204880099607717,0.260805949330272
A45,CrestFactor,80,0.238664737848063,0.0330069580044336,0.260536912121201,0.0195903016591273,8,6,2,0.327681704718159,0.260536912121201
ApproachReturnErrorRaw,AnalysisStartRaw,80,0.27179964816964,0.0147323787260607,0.260385638337859,0.0196639216054696,8,7,1,0.298829784545836,0.260385638337859
A18,A108,80,-0.244014682325458,0.0291633577179924,-0.260072021530885,0.019817303565867,8,6,2,-0.250930678417817,0.260072021530885
A9,TrackingError_RMS_Deg,80,0.173631443257824,0.123489711216861,0.25956745077129,0.0200662257893537,8,4,4,0.0492650330910188,0.25956745077129
A108,Residual_RMS_H36,80,0.0051240692168332,0.964019598871113,0.258354696314456,0.0206754876439085,8,6,2,0.233839069929531,0.258354696314456
FitExplainedRatio,Motor_Error_P2P_Deg,80,0.333192916299542,0.00252720484950134,0.257599747573016,0.021062689153456,8,8,0,0.231119164241914,0.257599747573016
FitExplainedRatio,Motor_System_INL_Deg,80,0.332395791479372,0.00259191887349403,0.256964824221452,0.0213931113766904,8,8,0,0.231248965162479,0.256964824221452
FitExplainedRatio,ShadowP2P,80,0.325425240326072,0.00322426436107914,0.256591430839187,0.0215894892538694,8,8,0,0.16470005531261,0.256591430839187
Residual_RMS_Full,Motor_System_INL_Deg,80,0.0431350011104929,0.704007777265335,0.25590179454278,0.0219562350788629,8,5,3,0.273606065642488,0.25590179454278
Residual_RMS_Full,Motor_Error_P2P_Deg,80,0.042220502682942,0.710001425297025,0.255141989751509,0.022366436730858,8,5,3,0.272662833613257,0.255141989751509
CrestFactor,AbsClosureErrorDeg,80,-0.254499370632263,0.0227184549327823,-0.254775046431103,0.0225668694272681,8,7,1,-0.300380532744714,0.254775046431103
NL_RobustP2P,TrackingError_MaxAbs_Deg,80,0.284854233902748,0.0104368786150182,0.252270270415291,0.0239763434373172,8,8,0,0.211401255360353,0.252270270415291
A45,Residual_RMS_H36,80,0.219845366828903,0.0500597341842469,0.251961612205157,0.0241551028945639,8,6,2,0.370728506985683,0.251961612205157
MeanDC,A9,80,-0.268356828330055,0.0160927341977024,-0.251670818100936,0.0243245516467494,8,5,3,-0.240137767273157,0.251670818100936
